city_name,country_code,latitude,station_distance_km,years_analyzed,temp_trend_per_decade,r_squared,p_value,significant_05,mean_temp_all_years
Aasiaat,GL,68.709,1.113,24,-0.193459595959596,0.02076929462682231,0.5016791912500795,False,-2.7096250000000004
Albion Park Rail,AU,-34.566,0.326,25,0.3849999999999989,0.430606112614752,0.0003680313639791155,True,17.14264
Anahuac,MX,22.203,0.604,24,0.68770053475936,0.5285660086022155,5.713759930858764e-05,True,25.9315
Anza,US,33.555,0.059,25,0.21438080495356027,0.03431105000746726,0.37537371425680144,False,14.479040000000003
Atuona,PF,-9.803,1.058,25,0.19844155844155967,0.15679441805898942,0.050061215552462235,False,26.949040000000004
Bailingmiao,CN,41.692,0.921,25,0.35333333333333317,0.1436915437161005,0.06165985869242707,False,5.732760000000001
Belle Fourche,US,44.671,0.083,25,-0.22056249999999877,0.04709237592448101,0.2974250148582498,False,9.09632
Birni N Konni,NE,13.796,0.447,22,0.1905000000000001,0.17257569310216936,0.05451892359439836,False,30.038954545454548
Boguchany,RU,58.383,0.068,25,0.26994949494949494,0.02375369244068304,0.4619914546735875,False,-0.6714399999999999
Bohicon,BJ,7.178,1.253,23,0.10818181818181798,0.10746872671431829,0.12674289499380853,False,28.415913043478263
Bombala,AU,-36.912,0.141,25,0.19307246376811588,0.04675000727205525,0.2992310173466115,False,12.33916
Bor,RU,61.601,0.143,25,0.45321428571428574,0.06061828612967035,0.23547008095903776,False,-2.2532
Boromo,BF,11.745,0.602,24,0.0821978021978027,0.05753536165966455,0.2589217208266523,False,29.17770833333333
Broome,AU,-17.955,0.969,25,0.5418627450980394,0.3670438122390415,0.0013290861929429187,True,27.082559999999997
Cascade,SC,-4.669,1.952,19,0.13999999999999346,0.2529320867024072,0.02817835258985779,True,27.631999999999994
Ceduna,AU,-32.127,0.023,25,0.25933035714285674,0.17740622781049387,0.03600731674540936,True,16.7642
Cherskiy,RU,68.753,1.967,21,0.48738095238095197,0.21311188551918148,0.035149776396790955,True,-9.209809523809524
Collinsville,AU,-20.552,0.283,24,0.2679166666666669,0.12391416295063351,0.09161541922198602,False,23.785333333333337
Comodoro Rivadavia,AR,-45.863,8.859,25,0.5289935064935063,0.5415338219839481,2.7597523776012878e-05,True,13.8396
Coyhaique,CL,-45.575,3.735,12,0.19173913043478277,0.06479633294927001,0.4246262114368864,False,9.0885
Cuenca,ES,40.067,0.406,25,0.7317788461538466,0.5757779717345837,1.1003235341533468e-05,True,14.135839999999998
Daroca,ES,41.115,0.364,25,0.1589285714285711,0.06769961396208568,0.20907089355170783,False,13.55592
Deer Lake,CA,49.167,0.121,22,-0.09600000000000009,0.004343326650415813,0.7707532577711842,False,5.304636363636363
Denham,AU,-25.927,0.157,25,0.41300000000000087,0.27322768621185967,0.0073445933710278855,True,22.63076
Dupree,US,45.047,0.115,25,0.6659649122807019,0.13019680144179502,0.0763905081546048,False,8.51216
Ebaye,MH,8.775,4.659,25,0.12687500000000124,0.12718450315538488,0.08013190396288916,False,28.26176
Ezeiza,AR,-34.854,3.747,25,0.36558441558441623,0.3162769183245763,0.0034312651876013955,True,17.68516
Fort Beaufort,ZA,-32.775,0.918,22,0.21700000000000053,0.11582905717009451,0.12118308753536544,False,19.83913636363636
Funes,AR,-32.916,2.667,22,0.27199999999999847,0.17446729510180314,0.053079302057762456,False,18.64159090909091
Glen Innes,AU,-29.735,0.284,25,-0.23324999999999863,0.0670414996609181,0.21137801480883622,False,14.23316
Guiping,CN,23.395,1.054,25,0.06429487179487044,0.012974154351655054,0.5877268290966771,False,22.92424
Invercargill,NZ,-46.4,2.296,25,0.36510526315789466,0.18985656212882462,0.029464766456169578,True,10.02572
Jiexiu,CN,37.024,1.032,25,0.7066176470588235,0.4906434179310992,9.663981982344083e-05,True,12.24184
Kahuku,US,21.68,0.745,25,0.11480549199084658,0.008032771793426208,0.6700747906165527,False,24.222360000000002
Kalbarri,AU,-27.71,0.156,25,0.34527777777778035,0.23934147038268383,0.013067333264540348,True,21.616120000000002
Kandi,BJ,11.134,0.626,23,0.08624999999999883,0.10819032043635823,0.12540002973580266,False,28.69826086956522
Khatanga,RU,71.98,0.375,25,0.7319899665551838,0.22377031636419709,0.016931337987329265,True,-10.944160000000002
Khowa,ZA,-31.333,0.007,23,0.2699999999999984,0.23979822212653723,0.017702960978015714,True,15.438434782608699
Klyuchi,RU,56.32,0.861,14,0.7700000000000001,0.12349242154361173,0.21792818293847827,False,0.4026428571428572
Kolonia,FM,6.964,1.198,25,0.3530844155844175,0.48508185633249845,0.00011003346534321778,True,27.53624
Kotzebue,US,66.898,1.479,25,0.35099999999999965,0.041699897371241135,0.32751880957241175,False,-4.05644
Kutchan,JP,42.901,0.779,23,0.3433333333333325,0.3674972008543995,0.0021675540711099117,True,7.117869565217392
Kēōkea,US,20.707,0.722,21,-0.1602941176470588,0.08850448302407077,0.19029250990191415,False,17.273142857142858
La Mare,RE,-20.898,2.641,25,0.26369047619047536,0.33715072777429433,0.0023402429286940585,True,24.461880000000004
Laboulaye,AR,-34.127,2.296,25,0.6724999999999987,0.5638197814333328,1.5287937642494143e-05,True,17.47304
Lachute,CA,45.65,0.06,20,0.35842105263157864,0.058911732197028055,0.302496192390201,False,6.67015
Lamoni,US,40.623,0.058,25,0.5552083333333329,0.13543589248089294,0.0702953678875442,False,10.991719999999997
Malargüe,AR,-35.478,2.057,22,0.3416666666666668,0.4119958043644818,0.00128079378242818,True,13.17118181818182
Mariestad,SE,58.71,0.214,24,0.4151710526315788,0.14638652145835773,0.06500257224328299,False,8.453958333333333
Molina de Aragón,ES,40.844,0.207,25,0.5274210526315792,0.44619434913385003,0.0002634407185826415,True,11.14376
Munising,US,46.411,0.129,25,0.40920833333333323,0.05697565240736602,0.2505220199270881,False,6.252039999999999
Murrurundi,AU,-31.764,0.111,25,0.4077272727272735,0.08792174235698913,0.15007124084872725,False,15.88052
Målilla,SE,57.388,0.424,24,0.46468750000000003,0.21807073191112625,0.021414368657066918,True,7.452125
Mākaha Valley,US,21.476,0.398,25,0.050904761904761814,0.03164701957749805,0.39490345787174697,False,24.151480000000003
Narooma,AU,-36.218,0.485,25,0.14124999999999793,0.10106548174826024,0.12146500364565926,False,16.3734
Naryn,KG,41.428,0.642,25,-0.034479166666666894,0.0011242289760509117,0.8735829913660142,False,4.96912
Nasinu,FJ,-18.071,5.544,24,0.273363636363636,0.17434609325161654,0.04233900991018058,True,25.371458333333337
Nikol’skoye,RU,55.197,1.183,16,0.43625000000000036,0.19566890415675153,0.08622232375500039,False,2.9196875
Noupoort,ZA,-31.187,0.485,24,0.22108695652173868,0.14326841102158971,0.06817384465816478,False,15.987500000000002
Okhotsk,RU,59.362,0.532,25,-0.047500000000000514,0.00489468764915868,0.7396561240590778,False,-3.1140000000000003
Ongi,MN,45.45,0.0,25,0.5138809523809523,0.14479203569848398,0.06059132522536648,False,2.8294000000000006
Onslow,AU,-21.638,0.148,25,0.8174603174603173,0.7312380803251033,5.198443853160484e-08,True,26.0572
Pello,FI,66.774,0.249,25,0.42782352941176466,0.12045144188467949,0.08917552392146777,False,1.6636399999999998
Port-aux-Français,TF,-49.349,2.221,23,0.15799999999999947,0.17681610524980118,0.04572869818993186,True,4.898652173913042
Postmasburg,ZA,-28.334,0.186,20,0.8537619047619044,0.3897427181241915,0.003259075774435294,True,19.09015
Puerto San Julián,AR,-49.307,5.307,22,0.2259999999999991,0.22157605043709716,0.027033834162211168,True,10.525590909090907
Qionghai,CN,19.242,1.097,25,0.2689182692307685,0.16462108898413497,0.04418662385194594,True,25.83664
Reykjavík,IS,64.135,0.354,25,-0.19758513931888538,0.1061630723767768,0.11195783503014534,False,5.449400000000001
Richlands,US,37.093,0.075,25,0.644791666666667,0.4567926819036897,0.00020884703630041912,True,11.90604
Rikitea,PF,-23.123,1.099,25,-0.0216517857142849,0.0001236260819632573,0.9579319836450226,False,23.617400000000004
Rockhampton,AU,-23.38,2.958,25,0.2949999999999994,0.2220969751082279,0.01740598843479324,True,23.272239999999996
Rovaniemi,FI,66.5,0.299,25,0.35946428571428557,0.11423811761390879,0.0984363946081197,False,2.556
Río Gallegos,AR,-51.625,2.312,25,0.45751282051282105,0.43076404793197365,0.0003668020684151063,True,8.267040000000001
Safed,IL,32.965,0.437,25,0.33641666666666714,0.14237843224251723,0.06295929752124874,False,17.211599999999997
Salla,FI,66.833,0.501,25,0.3883333333333333,0.10088758872447934,0.12181150068154123,False,0.69788
Sambava,MG,-14.267,1.639,18,0.2883333333333364,0.28896579861818383,0.02140381894496146,True,25.334111111111113
Saskylakh,RU,71.963,0.835,24,0.7952619047619045,0.26162518707493154,0.010627204891872744,True,-12.634666666666668
Seymchan,RU,62.934,2.295,24,-0.22098484848484853,0.003574428962981213,0.7813920890188542,False,-9.325125
Srednekolymsk,RU,67.456,0.945,22,0.2586666666666666,0.08144053105937421,0.19796254617011888,False,-9.953863636363637
Stykkishólmur,IS,65.075,0.233,25,-0.2335416666666662,0.12312167545815378,0.08547177818208351,False,4.92424
Tafunsak,FM,5.367,3.817,20,-0.21433035714285614,0.016393909985068178,0.5906050746914278,False,27.21015
Tagbilaran City,PH,9.656,0.943,22,-0.2538461538461553,0.23190189176440157,0.023254149451621853,True,28.029318181818187
Thiruvananthapuram,IN,8.486,0.29,24,0.5257142857142862,0.7860119556435785,8.082766456141144e-09,True,28.199125
Tāfuna,AS,-14.336,0.903,25,-0.1320995670995666,0.09025776389711582,0.1445103356784958,False,27.914680000000004
Upernavik,GL,72.784,0.537,20,-0.10272727272727272,0.008427782491176927,0.7002859898844642,False,-4.811250000000001
Utqiagvik,US,71.291,1.806,25,1.3143333333333325,0.5511241584716312,2.147651248884941e-05,True,-9.497480000000001
Vardø,NO,70.37,0.556,25,0.09318750000000003,0.02896958344039402,0.4159806585753416,False,2.8729999999999993
Verkhoyansk,RU,67.554,1.492,24,0.3995238095238097,0.1580417527645478,0.054387550320942335,False,-13.382958333333333
Weno,FM,7.446,2.443,25,0.4205555555555589,0.6481072354399433,1.2168839587101132e-06,True,28.013080000000006
Yeppoon,AU,-23.127,1.257,25,0.35944444444444557,0.34410268046353365,0.0020556994015299423,True,22.33212
Zhigansk,RU,66.768,1.038,25,0.4926071428571427,0.17663032904744624,0.036458601352294284,True,-10.36696
Zyryanka,RU,65.735,0.661,24,0.20808270676691717,0.07343032250620918,0.20026996420998033,False,-9.521916666666668
